"State","retirementCost","comfortableRetirement","savingsRequired"
"Mississippi","44758","53709.6000","617661"
"Oklahoma","45016","54019.2000","723859"
"Arkansas","45274","54328.8000","728010"
"Missouri","45584","54700.8000","771281"
"Tennessee","45894","55072.8000","660870"
"Alabama","46049","55258.8000","712832"
"Michigan","46203","55443.6000","864929"
"Kansas","46255","55506","732681"
"Indiana","46720","56064","784891"
"Georgia","46771","56125.2000","796984"
"New Mexico","47184","56620.8000","883291"
"Texas","47236","56683.2000","765223"
"Kentucky","47339","56806.8000","738492"
"Iowa","47494","56992.8000","820698"
"West Virginia","47546","57055.2000","787357"
"Ohio","47597","57116.4000","776788"
"Nebraska","47649","57178.8000","806220"
"Louisiana","48320","57984","776987"
"Idaho","48423","58107.6000","871620"
"North Carolina","48733","58479.6000","865499"
"Illinois","49043","58851.6000","882770"
"Wyoming","49404","59284.8000","824062"
"South Carolina","49507","59408.4000","784197"
"Wisconsin","49714","59656.8000","924679"
"North Dakota","50850","61020","823764"
"South Dakota","50850","61020","738337"
"Utah","50850","61020","872580"
"Pennsylvania","51005","61206","856876"
"Florida","51159","61390.8000","927008"
"Arizona","52140","62568","1007349"
"Virginia","52295","62754","884833"
"Minnesota","52605","63126","991075"
"Montana","54205","65046","839096"
"Colorado","54670","65604","977496"
"Delaware","55289","66346.8000","1008477"
"New Hampshire","55960","67152","946850"
"Nevada","56373","67647.6000","1007957"
"Washington","56890","68268","1085454"
"Vermont","60348","72417.6000","1079030"
"Maine","60555","72666","1089989"
"Rhode Island","62413","74895.6000","1071014"
"New Jersey","64736","77683.2000","1204099"
"Connecticut","66543","79851.6000","1245691"
"Alaska","66956","80347.2000","1341805"
"Maryland","67214","80656.8000","1113071"
"Oregon","68712","82454.4000","1335752"
"Massachusetts","69279","83134.8000","1155581"
"New York","69847","83816.4000","1408121"
"California","71809","86170.8000","1456286"
"Hawaii","99170","119004","1844556"